,Value
799,11
800,11
801,12
802,10
803,10
804,10
805,15
806,19
807,17
808,16
809,14
810,12
811,14
812,11
813,9
814,7
815,12
816,8
817,8
818,8
819,9
820,10
821,10
822,9
823,10
824,7
825,12
826,7
827,9
828,8
829,7
830,8
831,10
832,22
833,11
834,13
835,15
836,11
837,11
838,11
839,9
840,9
841,10
842,10
843,9
844,10
845,8
846,6
847,9
848,10
849,9
850,12
851,12
852,11
853,19
854,9
855,11
856,13
857,15
858,19
859,13
860,15
861,15
862,20
863,15
864,13
865,15
866,9
867,9
868,10
869,15
870,7
871,9
872,12
873,11
874,12
875,15
876,12
877,11
878,12
879,16
880,15
881,11
882,12
883,10
884,12
885,15
886,12
887,11
888,13
889,21
890,17
891,23
892,10
893,13
894,10
895,11
896,13
897,12
898,13
899,10
900,2
901,2
902,3
903,3
904,9
905,8
906,7
907,7
908,8
909,6
910,8
911,11
912,10
913,7
914,10
915,14
916,10
917,10
918,7
919,8
920,10
921,9
922,7
923,10
924,12
925,11
926,11
927,9
928,11
929,8
930,9
931,10
932,12
933,14
934,14
935,15
936,13
937,14
938,13
939,10
940,8
941,8
942,9
943,11
944,10
945,9
946,10
947,11
948,16
949,12
950,17
951,17
952,13
953,15
954,16
955,10
956,14
957,17
958,10
959,12
960,14
961,15
962,16
963,13
964,14
965,14
966,16
967,13
968,9
969,8
970,15
971,14
972,10
973,14
974,10
975,13
976,8
977,9
978,10
979,12
980,12
981,15
982,15
983,14
984,15
985,11
986,13
987,11
988,7
989,15
990,10
991,13
992,12
993,11
994,13
995,13
996,14
997,7
998,6
999,6
1000,8
1001,9
1002,12
1003,8
1004,8
1005,7
1006,8
1007,12
1008,18
1009,10
1010,6
1011,11
1012,8
1013,8
1014,5
1015,23
1016,23
1017,20
1018,17
1019,20
1020,17
1021,17
1022,15
1023,8
1024,14
1025,14
1026,7
1027,5
1028,7
1029,8
1030,7
1031,11
1032,11
1033,11
1034,10
1035,6
1036,4
1037,9
1038,10
1039,12
1040,13
1041,14
1042,12
1043,12
1044,13
1045,17
1046,13
1047,14
1048,15
1049,14
1050,13
1051,13
1052,15
1053,12
1054,12
1055,12
1056,8
1057,16
1058,12
1059,12
1060,14
1061,9
1062,10
1063,8
1064,13
1065,13
1066,12
1067,10
1068,10
1069,5
1070,6
1071,6
1072,7
1073,8
1074,10
1075,8
1076,8
1077,6
1078,10
1079,11
1080,9
1081,10
1082,9
1083,7
1084,10
1085,10
1086,13
1087,9
1088,12
1089,12
1090,14
1091,22
1092,15
1093,10
1094,14
1095,11
1096,14
1097,14
1098,12
1099,17
1100,19
1101,18
1102,19
1103,16
1104,12
1105,12
1106,13
1107,15
1108,14
1109,16
1110,16
1111,7
1112,8
1113,9
1114,11
1115,7
1116,11
1117,8
1118,7
1119,9
1120,13
1121,10
1122,7
1123,8
1124,13
1125,14
1126,10
1127,13
1128,10
1129,7
1130,7
1131,10
1132,11
1133,13
1134,17
1135,10
1136,8
1137,12
1138,9
1139,9
1140,15
1141,25
1142,25
1143,27
1144,10
1145,9
1146,11
1147,11
1148,8
1149,15
1150,9
1151,9
1152,9
1153,19
